Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.036862610	2.737048794	0.000	5071.130	2.7002	5071.130	-72.14	blackcap
2	Spectrogram 1	1	2.815106564	10.908537935	301.255	23548.117	8.0934	23246.862	-76.76	background_noise
3	Spectrogram 1	1	11.046430844	12.779806645	0.000	23397.490	1.7334	23397.490	-75.27	blackcap
4	Spectrogram 1	1	12.802334630	16.966998068	0.000	23286.713	4.1647	23286.713	-76.72	background_noise
5	Spectrogram 1	1	17.048127875	21.086589390	0.000	23286.713	4.0385	23286.713	-75.75	blackcap
6	Spectrogram 1	1	21.194762466	22.952574956	0.000	23202.797	1.7578	23202.797	-74.36	yellowhammer
7	Spectrogram 1	1	22.997958431	27.027405523	0.000	23202.797	4.0294	23202.797	-76.51	background_noise
8	Spectrogram 1	1	27.099520908	31.273198768	125.874	23034.965	4.1737	22909.091	-75.32	blackcap
9	Spectrogram 1	1	31.332025617	37.551977504	0.000	22867.133	6.2200	22867.133	-75.90	background_noise
10	Spectrogram 1	1	37.633107311	39.445006339	0.000	22699.301	1.8119	22699.301	-71.94	yellowhammer
11	Spectrogram 1	1	39.490388132	42.807695805	0.000	22573.427	3.3173	22573.427	-76.55	background_noise
12	Spectrogram 1	1	42.852767920	45.809498672	0.000	22447.552	2.9567	22447.552	-75.22	blackcap
13	Spectrogram 1	1	45.877339944	50.411594726	125.874	22405.594	4.5343	22279.720	-76.56	background_noise
14	Spectrogram 1	1	50.492724533	52.394767791	209.790	22447.552	1.9020	22237.762	-72.18	yellowhammer
15	Spectrogram 1	1	52.435565794	56.338810964	0.000	22363.636	3.9032	22363.636	-74.73	blackcap
16	Spectrogram 1	1	56.411081187	63.334158070	0.000	22321.678	6.9231	22321.678	-76.34	background_noise
