Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.036862610	2.737048794	0.000	5071.130	2.7002	5071.130	-72.14	blackcap
2	Spectrogram 1	1	2.815106564	10.908537935	301.255	23548.117	8.0934	23246.862	-76.76	background_noise
3	Spectrogram 1	1	11.046430844	12.779806645	0.000	23397.490	1.7334	23397.490	-75.27	blackcap
4	Spectrogram 1	1	12.802334630	16.966998068	0.000	23286.713	4.1647	23286.713	-76.72	background_noise
5	Spectrogram 1	1	17.048127875	21.086589390	0.000	23286.713	4.0385	23286.713	-75.75	blackcap
6	Spectrogram 1	1	21.194762466	22.952574956	0.000	23202.797	1.7578	23202.797	-74.36	yellowhammer
7	Spectrogram 1	1	22.997958431	27.027405523	0.000	23202.797	4.0294	23202.797	-76.51	background_noise
8	Spectrogram 1	1	27.099520908	31.273198768	125.874	23034.965	4.1737	22909.091	-75.32	blackcap
9	Spectrogram 1	1	31.332025617	37.551977504	0.000	22867.133	6.2200	22867.133	-75.90	background_noise
10	Spectrogram 1	1	37.633107311	39.445006339	0.000	22699.301	1.8119	22699.301	-71.94	yellowhammer
11	Spectrogram 1	1	39.490388132	42.807695805	0.000	22573.427	3.3173	22573.427	-76.55	background_noise
12	Spectrogram 1	1	42.852767920	45.809498672	0.000	22447.552	2.9567	22447.552	-75.22	blackcap
13	Spectrogram 1	1	45.877339944	50.411594726	125.874	22405.594	4.5343	22279.720	-76.56	background_noise
14	Spectrogram 1	1	50.492724533	52.394767791	209.790	22447.552	1.9020	22237.762	-72.18	yellowhammer
15	Spectrogram 1	1	52.435565794	56.338810964	0.000	22363.636	3.9032	22363.636	-74.73	blackcap
16	Spectrogram 1	1	56.411081187	63.334158070	0.000	22321.678	6.9231	22321.678	-76.34	background_noise
17	Spectrogram 1	1	63.397259031	65.019855175	0.000	22195.804	1.6226	22195.804	-71.54	yellowhammer
18	Spectrogram 1	1	65.064927290	69.500023419	0.000	22027.972	4.4351	22027.972	-75.40	blackcap
19	Spectrogram 1	1	69.572448844	72.601294981	0.000	21986.014	3.0288	21986.014	-76.69	background_noise
20	Spectrogram 1	1	72.646367096	75.873530539	0.000	21776.224	3.2272	21776.224	-75.96	blackcap
21	Spectrogram 1	1	75.923342965	77.248463149	0.000	21692.308	1.3251	21692.308	-76.60	background_noise
22	Spectrogram 1	1	77.293535265	79.069376600	0.000	21608.392	1.7758	21608.392	-70.88	yellowhammer_and_blackcap
23	Spectrogram 1	1	79.141491985	80.619857361	0.000	21524.476	1.4784	21524.476	-75.28	blackcap
24	Spectrogram 1	1	80.696713056	83.238780349	0.000	21398.601	2.5421	21398.601	-76.55	background_noise
25	Spectrogram 1	1	83.265823618	88.097554359	0.000	21188.811	4.8317	21188.811	-76.40	wren
26	Spectrogram 1	1	88.124752467	92.253358212	0.000	21734.266	4.1286	21734.266	-76.63	background_noise
27	Spectrogram 1	1	92.280401481	94.299632239	0.000	22615.385	2.0192	22615.385	-73.48	yellowhammer
28	Spectrogram 1	1	94.308958022	96.003669551	0.000	23118.881	1.6947	23118.881	-76.81	background_noise
29	Spectrogram 1	1	96.003669551	101.204991636	0.000	23706.294	5.2013	23706.294	-75.25	blackcap
30	Spectrogram 1	1	101.304150289	104.215808926	0.000	23706.294	2.9117	23706.294	-76.48	wren
31	Spectrogram 1	1	104.283650198	107.348554027	0.000	23664.336	3.0649	23664.336	-73.64	yellowhammer
32	Spectrogram 1	1	107.402640565	109.845549205	125.874	23706.294	2.4429	23580.420	-76.69	wren
33	Spectrogram 1	1	109.890621320	112.694106880	0.000	23454.545	2.8035	23454.545	-75.21	blackcap
34	Spectrogram 1	1	112.735061405	119.261503675	0.000	23454.545	6.5264	23454.545	-76.60	wren
35	Spectrogram 1	1	119.333619059	122.128090197	0.000	23496.503	2.7945	23496.503	-72.93	yellowhammer
36	Spectrogram 1	1	122.173162312	123.858859418	0.000	23832.168	1.6857	23832.168	-75.43	blackcap
37	Spectrogram 1	1	123.890797836	130.705701643	0.000	23790.210	6.8149	23790.210	-76.10	wren
38	Spectrogram 1	1	130.750773758	134.302456430	0.000	23832.168	3.5517	23832.168	-74.08	wren_and_blackcap
39	Spectrogram 1	1	134.338825482	137.565988925	0.000	23748.252	3.2272	23748.252	-75.96	background_noise
40	Spectrogram 1	1	137.620075463	139.495075452	0.000	23706.294	1.8750	23706.294	-72.84	yellowhammer
41	Spectrogram 1	1	139.531133144	141.171758135	0.000	23706.294	1.6406	23706.294	-75.84	blackcap
42	Spectrogram 1	1	141.230584984	146.711354183	0.000	23748.252	5.4808	23748.252	-76.13	background_noise
43	Spectrogram 1	1	146.783469567	149.623012820	83.916	23790.210	2.8395	23706.294	-75.75	blackcap
44	Spectrogram 1	1	149.668396295	152.525968394	0.000	23832.168	2.8576	23832.168	-76.29	background_noise
45	Spectrogram 1	1	152.580054932	154.608300113	0.000	23748.252	2.0282	23748.252	-71.62	yellowhammer
46	Spectrogram 1	1	154.662386651	161.251929882	0.000	23790.210	6.5895	23790.210	-75.79	wren_and_blackcap
47	Spectrogram 1	1	161.328940416	164.637233666	83.916	23790.210	3.3083	23706.294	-76.62	background_noise
48	Spectrogram 1	1	164.691320204	168.648651912	0.000	23790.210	3.9573	23790.210	-76.69	wren
49	Spectrogram 1	1	168.702738450	171.812714394	0.000	23832.168	3.1100	23832.168	-70.97	yellowhammer
50	Spectrogram 1	1	171.853668918	176.207635239	0.000	23748.252	4.3540	23748.252	-76.70	blackcap
51	Spectrogram 1	1	176.252707354	180.795976559	125.874	23748.252	4.5433	23622.378	-76.93	wren
52	Spectrogram 1	1	180.845788985	185.127639922	125.874	23916.084	4.2819	23790.210	-76.19	wren_and_blackcap
53	Spectrogram 1	1	185.163852452	189.986568771	0.000	23832.168	4.8227	23832.168	-76.91	background_noise
54	Spectrogram 1	1	190.058684155	192.330318757	0.000	23874.126	2.2716	23874.126	-72.04	yellowhammer
55	Spectrogram 1	1	192.389143923	195.886740057	0.000	23874.126	3.4976	23874.126	-75.71	blackcap
56	Spectrogram 1	1	195.954423124	207.997848807	83.916	23832.168	12.0434	23748.252	-76.80	background_noise
57	Spectrogram 1	1	208.034216176	210.071475780	0.000	23832.168	2.0373	23832.168	-72.25	yellowhammer
58	Spectrogram 1	1	210.107533472	215.209696904	0.000	23832.168	5.1022	23832.168	-76.03	blackcap
59	Spectrogram 1	1	215.259509330	223.737807284	0.000	24000.000	8.4783	24000.000	-76.58	background_noise
60	Spectrogram 1	1	223.773864976	227.086898537	83.916	24000.000	3.3130	23916.084	-72.25	yellowhammer
61	Spectrogram 1	1	227.131970653	228.709494682	0.000	23832.168	1.5775	23832.168	-75.55	wren
